location	cabin url	image url	caption	lat	lng	cabin_page_url
Ireland	http://cabinporn.com/image/107990347852	http://40.media.tumblr.com/df59f2b1da0aa936b3fc24f933b8f06e/tumblr_nhwnl7soTH1qzwmsso1_1280.jpg	Stone shelter on Carrauntoohil, the highest peak in Ireland.	53.41291	-8.24389	http://cabinporn.com/page/1
Asheville, NC, USA	http://cabinporn.com/image/107986863405	http://40.media.tumblr.com/2c3c40d0a8865ca36b9b1c7f61ac3776/tumblr_nhpze9sj8v1qzwmsso1_1280.jpg	Cabin on Blue Ridge Parkway near Asheville, NC.	35.5950581	-82.5514869	http://cabinporn.com/page/1
Village de Labelle, QC J0T, Canada	http://cabinporn.com/image/107896794700	http://40.media.tumblr.com/9ef9cb6149a4d6d8c7e155a57be517ad/tumblr_nhxm5k4QyI1qzwmsso1_1280.jpg	Hand-hewn cabin amidst a hundred acres of Laurentians woods in Labelle, Quebec.	46.28009	-74.7335949	http://cabinporn.com/page/1
Dover Plains, NY, USA	http://cabinporn.com/image/107598809105	http://41.media.tumblr.com/b0f821ee720eb41ff06f560a995e5624/tumblr_nhu1cfcsCw1qzwmsso1_1280.jpg	Abandoned cabin in Dover Plains, New York 	41.74120509999999	-73.5765151	http://cabinporn.com/page/1
Isle of Skye, United Kingdom	http://cabinporn.com/image/107516777075	http://40.media.tumblr.com/d4dd89f6bae6cf1fa65e2baf6f61da77/tumblr_nhrpy0fsXT1qzwmsso1_1280.jpg	Bothy and composting toilet tower on the Isle of Skye, Scotland. 	57.5359261	-6.226272499999999	http://cabinporn.com/page/1
Vancouver, BC, Canada	http://cabinporn.com/image/107222463895	http://36.media.tumblr.com/5b32ced174425d2438acaae8ee5a4ef0/tumblr_nhkbyht07g1qzwmsso1_1280.jpg	Backcountry ski cabin on Hollyburn Mountain near Vancouver, BC.	49.2827291	-123.1207375	http://cabinporn.com/page/1
Via Orobie, Sondrio, Italy	http://cabinporn.com/image/106909720401	http://41.media.tumblr.com/a5bc506f8ae39e7022a6edd4380a18cd/tumblr_nhbbzgGk5m1qzwmsso1_1280.jpg	Hut for the production of cheese in Val Brembana in Orobie, Italy.	46.1616293	9.886748899999999	http://cabinporn.com/page/1
Reykjavik, Iceland	http://cabinporn.com/image/106620033065	http://36.media.tumblr.com/b35dda0c17ce72c310443927a07c799c/tumblr_nhd92ux2aT1qzwmsso1_1280.jpg	Cabins on the coast near Reykjavik, Iceland.	64.133333	-21.933333	http://cabinporn.com/page/2
Namaqua National Park, 8220, South Africa	http://cabinporn.com/image/106516443360	http://40.media.tumblr.com/34ed07dc0ebffa3e13760e93f749ac56/tumblr_nh6n9oGgUq1qzwmsso1_1280.jpg	Gabion stone outhouse in Namaqualand National Park, South Africa.	-30.016748	17.5790365	http://cabinporn.com/page/2
	http://cabinporn.com/image/106349021470	http://40.media.tumblr.com/378c18bd267254446501a5ccc9718740/tumblr_nh4z1vI9j51qzwmsso1_1280.jpg	80-year-old cabin in the Northern Black Forest, Germany.			http://cabinporn.com/page/2
